Version: 2, OpenDRIVE: hct_6.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
3.800, 1, Agent1, 683.660, -132.967, 0.000, 4.795, 0.000, 0.000, 6.250, 0.000, 2.578
3.800, 2, Agent2, 686.100, -138.357, 0.000, 2.126, 0.000, 0.000, 0.000, 0.093, 5.282
3.850, 0, Ego, 688.441, -151.878, 0.000, 1.649, 0.000, 0.000, 4.853, -0.000, 5.787
3.850, 1, Agent1, 683.686, -133.279, 0.000, 4.795, 0.000, 0.000, 6.111, 0.000, 3.451
3.850, 2, Agent2, 686.100, -138.357, 0.000, 2.126, 0.000, 0.000, 0.000, 0.068, 5.282
3.900, 0, Ego, 688.423, -151.647, 0.000, 1.649, 0.000, 0.000, 4.638, -0.000, 0.166
3.900, 1, Agent1, 683.711, -133.583, 0.000, 4.795, 0.000, 0.000, 5.972, -0.000, 4.304
3.900, 2, Agent2, 686.100, -138.357, 0.000, 2.126, 0.000, 0.000, 0.000, 0.043, 5.282
3.950, 0, Ego, 688.406, -151.426, 0.000, 1.649, 0.000, 0.000, 4.434, 0.000, 0.800
3.950, 1, Agent1, 683.736, -133.881, 0.000, 4.795, 0.000, 0.000, 5.833, -0.000, 5.137
3.950, 2, Agent2, 686.100, -138.357, 0.000, 2.126, 0.000, 0.000, 0.000, 0.018, 5.282
4.000, 0, Ego, 688.390, -151.215, 0.000, 1.649, 0.000, 0.000, 4.239, 0.000, 1.405
4.000, 1, Agent1, 683.760, -134.171, 0.000, 4.795, 0.000, 0.000, 5.694, -0.000, 5.951
