time,id,name,x,y,z,h,p,r,speed,wheel_angle,wheel_rot
6.700,0,Ego,446.387,-67.087,0.000,3.746,0.000,0.000,11.111,-0.000,5.353
6.700,1,Agent1,458.212,-60.753,0.000,3.747,0.000,0.000,11.111,-0.000,0.393
6.750,0,Ego,445.929,-67.402,0.000,3.746,0.000,0.000,11.111,0.000,0.657
6.750,1,Agent1,457.755,-61.069,0.000,3.747,0.000,0.000,11.111,-0.000,1.981
6.800,0,Ego,445.472,-67.718,0.000,3.746,0.000,0.000,11.111,-0.000,2.245
6.800,1,Agent1,457.298,-61.385,0.000,3.747,0.000,0.000,11.111,-0.001,3.568
6.850,0,Ego,445.015,-68.033,0.000,3.746,0.000,0.000,11.111,0.000,3.832
6.850,1,Agent1,456.841,-61.701,0.000,3.746,0.000,0.000,11.111,-0.001,5.155
6.900,0,Ego,444.558,-68.349,0.000,3.746,0.000,0.000,11.111,-0.000,5.419
6.900,1,Agent1,456.384,-62.017,0.000,3.746,0.000,0.000,11.111,-0.001,0.459
